doggo_name,doggo_pic_url,url_source
Percy (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19436/19436475/96122267.jpg,"toolkitFocusPet_0(0, 19436475, 136);return false;"
Carolina (GA),https://cdn.rescuegroups.org/7015/pictures/animals/19462/19462837/95184558.jpg,"toolkitFocusPet_0(0, 19462837, 137);return false;"
Tigger,https://cdn.rescuegroups.org/7015/pictures/animals/9949/9949006/86444195.jpg,"toolkitFocusPet_0(0, 9949006, 138);return false;"
Heidi (GA),https://cdn.rescuegroups.org/7015/pictures/animals/10535/10535078/87184690.jpg,"toolkitFocusPet_0(0, 10535078, 139);return false;"
Julian,https://cdn.rescuegroups.org/7015/pictures/animals/9333/9333365/31834872.jpg,"toolkitFocusPet_0(0, 9333365, 140);return false;"
Queen,https://cdn.rescuegroups.org/7015/pictures/animals/15470/15470572/82501631.jpg,"toolkitFocusPet_0(0, 15470572, 141);return false;"
Bailey and Lucy (TX),https://cdn.rescuegroups.org/7015/pictures/animals/14440/14440383/68823204.jpg,"toolkitFocusPet_0(0, 14440383, 142);return false;"
Bear (TX),https://cdn.rescuegroups.org/7015/pictures/animals/14440/14440448/71855189.jpg,"toolkitFocusPet_0(0, 14440448, 143);return false;"
Blake (TX),https://cdn.rescuegroups.org/7015/pictures/animals/13959/13959792/75933628.jpg,"toolkitFocusPet_0(0, 13959792, 144);return false;"
Lulu,https://cdn.rescuegroups.org/7015/pictures/animals/13977/13977422/72297422.jpg,"toolkitFocusPet_0(0, 13977422, 145);return false;"
Shawn,https://cdn.rescuegroups.org/7015/pictures/animals/14856/14856069/74089245.jpg,"toolkitFocusPet_0(0, 14856069, 146);return false;"
Gamora,https://cdn.rescuegroups.org/7015/pictures/animals/14863/14863574/71494751.jpg,"toolkitFocusPet_0(0, 14863574, 147);return false;"
Magpie,https://cdn.rescuegroups.org/7015/pictures/animals/14768/14768028/97602544.jpg,"toolkitFocusPet_0(0, 14768028, 148);return false;"
Gunnar,https://cdn.rescuegroups.org/7015/pictures/animals/11758/11758523/85628974.jpg,"toolkitFocusPet_0(0, 11758523, 149);return false;"
Lila,https://cdn.rescuegroups.org/7015/pictures/animals/11247/11247444/87096333.jpg,"toolkitFocusPet_0(0, 11247444, 150);return false;"
